,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,16.01,51,75,2.57,GL,1627409244
1,tocopilla,-22.092,-70.1979,18.61,63,9,4.06,CL,1627409608
2,chokurdakh,70.6333,147.9167,1.64,86,100,4.96,RU,1627409608
3,bandarbeyla,9.4942,50.8122,26.08,73,98,12.18,SO,1627409347
4,ushuaia,-54.8,-68.3,2.81,87,90,2.06,AR,1627409577
5,upernavik,72.7868,-56.1549,9.16,80,100,3.13,GL,1627409609
6,moose factory,51.2585,-80.6094,18.99,59,75,2.57,CA,1627409609
7,san patricio,28.017,-97.5169,34.05,41,29,3.09,US,1627409609
8,kavieng,-2.5744,150.7967,28.2,74,41,5.55,PG,1627409610
9,high level,58.5169,-117.136,20.03,51,59,3.97,CA,1627409611
10,pindiga,9.9833,10.9333,22.57,79,100,1.94,NG,1627409611
11,georgetown,5.4112,100.3354,28.83,83,40,0.0,MY,1627409188
12,punta arenas,-53.15,-70.9167,6.06,93,75,4.12,CL,1627409349
13,albany,42.6001,-73.9662,31.19,57,21,2.08,US,1627409335
14,fortuna,40.5982,-124.1573,12.77,97,75,0.0,US,1627409438
15,sabang,5.8933,95.3214,28.69,78,62,8.89,ID,1627409612
16,bilma,18.6853,12.9164,33.63,32,48,4.9,NE,1627409612
17,barrow,71.2906,-156.7887,6.01,94,90,4.63,US,1627409231
18,kisangani,0.5167,25.2,24.57,69,84,1.49,CD,1627409387
19,jamestown,42.097,-79.2353,29.62,43,75,6.26,US,1627409342
20,gigmoto,13.7796,124.39,27.71,83,100,6.78,PH,1627409613
21,mataura,-46.1927,168.8643,9.15,93,96,0.76,NZ,1627409613
22,saint george,37.1041,-113.5841,32.66,52,1,0.45,US,1627409104
23,hilo,19.7297,-155.09,24.85,89,90,0.0,US,1627409582
24,hithadhoo,-0.6,73.0833,27.26,78,98,3.35,MV,1627409338
25,puerto ayora,-0.7393,-90.3518,23.72,68,55,4.58,EC,1627409329
26,palmerston,-12.486,130.9833,21.99,95,32,0.0,AU,1627409470
27,ust-uda,54.1742,103.0304,17.51,64,45,0.96,RU,1627409615
28,thompson,55.7435,-97.8558,27.89,25,43,4.17,CA,1627409321
29,itoman,26.1247,127.6694,28.01,73,75,5.14,JP,1627409429
30,provideniya,64.3833,-173.3,8.28,99,100,4.63,RU,1627409316
31,chuy,-33.6971,-53.4616,9.5,52,8,7.72,UY,1627409355
32,ribeira grande,38.5167,-28.7,26.22,69,40,6.17,PT,1627409378
33,maraa,-1.8333,-65.3667,33.74,42,79,1.58,BR,1627409615
